Register,Address,Access,Bit Range,Description
I2C_SLV_ADDRH,0x00,WO,[1:0],Upper 2 bits of I2C slave address
I2C_SLV_ADDRL,0x01,WO,[DATA_WIDTH-1:0],Lower 8 bits of I2C slave address
MODE,0x02,WO,[3],"Role: 0-slave, 1-master"
MODE,0x02,WO,[2:1],"Speed: 00-Standard, 01-Fast, 1x-Fast+"
MODE,0x02,WO,[0],"Address type: 0-7-bit, 1-10-bit"
SCL_TIMEOUT2,0x03,WO,[DATA_WIDTH-1:0],SCL stretch timeout bits [3*DATA_WIDTH-1:2*DATA_WIDTH]
SCL_TIMEOUT1,0x04,WO,[DATA_WIDTH-1:0],SCL stretch timeout bits [2*DATA_WIDTH-1:DATA_WIDTH]
SCL_TIMEOUT0,0x05,WO,[DATA_WIDTH-1:0],SCL stretch timeout bits [DATA_WIDTH-1:0]
SDA_TIMEOUT2,0x06,WO,[DATA_WIDTH-1:0],SDA stuck timeout bits [3*DATA_WIDTH-1:2*DATA_WIDTH]
SDA_TIMEOUT1,0x07,WO,[DATA_WIDTH-1:0],SDA stuck timeout bits [2*DATA_WIDTH-1:DATA_WIDTH]
SDA_TIMEOUT0,0x08,WO,[DATA_WIDTH-1:0],SDA stuck timeout bits [DATA_WIDTH-1:0]
TX_DATA,0x09,WO,[DATA_WIDTH-1:0],Transmit data byte written to command FIFO
RX_DATA,0x0A,WO,[DATA_WIDTH-1:0],Receive command request written to command FIFO
IRQ_CLEAR,0x0B,WO,[0],Clear ILLEGAL_ACCESS sticky interrupt
IRQ_CLEAR,0x0B,WO,[1],Clear NACK sticky interrupt
IRQ_CLEAR,0x0B,WO,[2],Clear ARB_LOST sticky interrupt
I2C_SLV_SELF_ADDRH,0x0C,WO,[1:0],Upper 2 bits of I2C self slave address
I2C_SLV_SELF_ADDRL,0x0D,WO,[DATA_WIDTH-1:0],Lower 8 bits of I2C self slave address
RX_FIFO,0x10,RO,[DATA_WIDTH-1:0],Read data from receive FIFO
TX_COUNT_HIGH,0x11,RO,[2*DATA_WIDTH-1:DATA_WIDTH],Upper half of transmit counter
TX_COUNT_LOW,0x12,RO,[DATA_WIDTH-1:0],Lower half of transmit counter
RX_COUNT_HIGH,0x13,RO,[2*DATA_WIDTH-1:DATA_WIDTH],Upper half of receive counter
RX_COUNT_LOW,0x14,RO,[DATA_WIDTH-1:0],Lower half of receive counter
IRQ_STATUS,0x15,RO,[0],SDA_HUNG status
IRQ_STATUS,0x15,RO,[1],BUS_BUSY status
IRQ_STATUS,0x15,RO,[2],SCL_HUNG status
IRQ_STATUS,0x15,RO,[3],ARB_LOST interrupt status
IRQ_STATUS,0x15,RO,[4],NACK interrupt status
IRQ_STATUS,0x15,RO,[5],ILLEGAL_ACCESS interrupt status
IRQ_STATUS,0x15,RO,[6],CMD_FIFO_FULL status
IRQ_STATUS,0x15,RO,[7],RX_FIFO_EMPTY status
